sku,nombre,precio,stock,categoria,descripcion,imagenUrl,proveedor,activo,disponible
HERR-001,Taladro Percutor Inalámbrico 20V Max Brushless,385000,24,herramientas-electricas,Taladro de alta potencia con 2 velocidades mecánicas y luz LED de trabajo,https://images.unsplash.com/photo-1504148455328-c376907d081c?w=500,Herramientas Profesionales Bosch & Cía,true,true
HERR-002,Pulidora Angular de 4-1/2 Pulgadas 850W,195000,30,herramientas-electricas,Esmeriladora angular ergonómica con bloqueo de eje para cambio rápido de disco,https://images.unsplash.com/photo-1572981779307-38b8cabb2407?w=500,Herramientas Profesionales Bosch & Cía,true,true
HERR-003,Juego de Llaves Combinadas 12 Piezas Cromo Vanadio,115000,45,herramientas-manuales,Set de llaves milimétricas forjadas con tratamiento térmico anti-óxido,https://images.unsplash.com/photo-1581244277943-fe4a9c777189?w=500,Ferretería Industrial del Norte,true,true
HERR-004,Martillo de Uña Curva 16oz Mango Antivibración,42000,60,herramientas-manuales,Martillo forjado en acero al carbono con mango de fibra ergonómico,https://images.unsplash.com/photo-1586864387967-d02ef85d93e8?w=500,Ferretería Industrial del Norte,true,true
PINT-001,Pintura Vinilo Tipo 1 Blanco Nieve Cuñete 5 Galones,240000,18,pinturas-y-acabados,Pintura de máxima lavabilidad y alto poder cubriente para muros y cielos,https://images.unsplash.com/photo-1562259949-e8e7689d7828?w=500,Pinturas y Revestimientos Corona,true,true
PINT-002,Kit Profesional Brocha 4 Pulgadas + Rodillo Antigoteo,38000,50,pinturas-y-acabados,Kit completo para aplicación uniforme de pinturas base agua y solvente,https://images.unsplash.com/photo-1589939705384-5185137a7f0f?w=500,Pinturas y Revestimientos Corona,true,true
ELEC-001,Rollo Cable Eléctrico THHN Calibre 12 AWG 100 Metros,185000,35,iluminacion-y-electricidad,Conductor de cobre 100% puro para instalaciones residenciales y comerciales,https://images.unsplash.com/photo-1558494949-ef010cbdcc31?w=500,Distribuidora Eléctrica Andina,true,true
ELEC-002,Panel LED Redondo de Incrustar 18W Luz Blanca,22000,120,iluminacion-y-electricidad,Lámpara ultra delgada de bajo consumo con driver de alta eficiencia integrado,https://images.unsplash.com/photo-1565814636199-ae8133055c1c?w=500,Iluminación LED Phillips Master,true,true
PLOM-001,Tubo PVC Sanitario 3 Pulgadas x 6 Metros Norma RDE,58000,40,fontaneria-y-plomeria,Tubería rígida para desagüe de aguas negras y ventilación sanitaria,https://images.unsplash.com/photo-1585704032915-c3400ca199e7?w=500,Tuberías y Griferías Pavco Plast,true,true
PLOM-002,Grifería Monocontrol para Lavaplatos Cuello Flexible,135000,22,fontaneria-y-plomeria,Grifo con aireador economizador y cuerpo metálico con acabado cromado brillante,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?w=500,Tuberías y Griferías Pavco Plast,true,true
SEGU-001,Casco de Seguridad Industrial Tipo 1 Clase E con Tafilete,28000,80,seguridad-industrial,Casco dieléctrico de polietileno de alta densidad contra impactos de objetos,https://images.unsplash.com/photo-1618090584176-7132b9911657?w=500,Seguridad Industrial 3M Protection,true,true
SEGU-002,Gafas de Protección Anti-Empañante y Filtro UV 400,14500,150,seguridad-industrial,Lentes envolventes de policarbonato con protección lateral contra salpicaduras,https://images.unsplash.com/photo-1574258495973-f010dfbb5371?w=500,Seguridad Industrial 3M Protection,true,true
FIJA-001,Caja Tornillo Drywall Rosca Fina 6x1 Pulgada x 1000 Unidades,32000,90,tornilleria-y-fijaciones,Tornillo fosfatado negro con punta aguda para fijación en placas de yeso,https://images.unsplash.com/photo-1530124566582-a618bc2615dc?w=500,Tornillos y Fijaciones Especiales SAS,true,true
FIJA-002,Chazo Plástico Expansivo de 1/4 Pulgada con Tornillo x 100 Und,16000,110,tornilleria-y-fijaciones,Anclaje de nylon resistente para concreto y muros de mampostería maciza,https://images.unsplash.com/photo-1581092918056-0c4c3acd3789?w=500,Tornillos y Fijaciones Especiales SAS,true,true
QUIM-001,Silicona Acética Transparente Antihongos Cartucho 300ml,18500,75,adhesivos-y-quimicos,Sellador elástico impermeable para juntas en baños cocinas y ventanas,https://images.unsplash.com/photo-1607613009820-a29f7bb81c04?w=500,Adhesivos y Siliconas Sika Master,true,true
QUIM-002,Adhesivo Epóxico Bicomponente de Secado Rápido 10 Minutos,24000,55,adhesivos-y-quimicos,Pegante de ultra alta resistencia para metal cerámica madera y concreto,https://images.unsplash.com/photo-1581092160607-ee22621dd758?w=500,Adhesivos y Siliconas Sika Master,true,true
MEDI-001,Nivel Láser Autonivelante de Líneas Cruzadas Verdes 30m,320000,15,equipos-de-medicion,Láser de haz verde de alta visibilidad para nivelación horizontal y vertical,https://images.unsplash.com/photo-1616401784845-180882ba9ba8?w=500,Equipos de Medición y Láser DeWalt,true,true
CERR-001,Cerradura de Sobreponer Clásica de 3 Golpes con Cilindro Suelto,85000,28,cerrajeria-y-seguridad,Cerradura de alta seguridad para puertas principales de madera o metálicas,https://images.unsplash.com/photo-1558002038-1055907df827?w=500,Cerrajería y Candados Yale Pro,true,true
SOLD-001,Inversor para Soldadura MMA 200 Amperios 110/220V Dual,560000,10,soldadura-y-metales,Equipo portátil de soldadura electrónica para electrodos 6013 7018 e inoxidable,https://images.unsplash.com/photo-1504307651254-35680f356dfd?w=500,Soldaduras y Gases Industriales Indura,true,true
JARD-001,Guadañadora a Gasolina Motor 2 Tiempos 52cc Profesional,490000,8,jardineria-y-agro,Desbrozadora para corte de maleza pesada con cuchilla de 3 puntas y yoyo,https://images.unsplash.com/photo-1592417817098-8f3d69109853?w=500,Jardinería y Motosierras Stihl Colombia,true,true
